None,points,points,points,price,price,price
None,count,mean,50%,count,mean,50%
province,,,,,,
America,27.0,86.48148148148148,86.0,27.0,20.962962962962962,18.0
Arizona,39.0,84.8974358974359,85.0,38.0,27.68421052631579,24.5
California,44508.0,87.68273119439202,87.0,44356.0,35.50604202362702,30.0
Colorado,30.0,84.36666666666666,84.5,30.0,22.533333333333335,20.0
Connecticut,2.0,83.5,83.5,2.0,14.0,14.0
Idaho,136.0,85.4779411764706,85.0,136.0,20.294117647058822,18.0
Iowa,4.0,83.5,83.5,4.0,13.75,13.0
Kentucky,4.0,82.25,82.5,4.0,30.75,32.5
Massachusetts,10.0,85.1,84.5,10.0,21.9,22.0
Michigan,25.0,83.16,83.0,24.0,22.0,17.5
Missouri,60.0,83.86666666666666,84.0,60.0,20.633333333333333,16.0
Nevada,1.0,84.0,84.0,1.0,75.0,75.0
New Jersey,24.0,83.41666666666667,83.0,24.0,19.541666666666668,17.5
New Mexico,95.0,83.94736842105263,83.0,95.0,20.88421052631579,20.0
New York,2428.0,86.15650741350906,86.0,2415.0,20.78053830227743,18.0
North Carolina,20.0,83.95,84.0,20.0,20.35,18.0
Ohio,34.0,83.70588235294117,84.0,34.0,14.676470588235293,15.0
Oregon,4589.0,88.50926127696665,88.0,4571.0,34.078101071975496,30.0
Pennsylvania,50.0,83.5,84.0,50.0,24.12,21.0
Texas,41.0,85.21951219512195,84.0,41.0,17.902439024390244,15.0
Vermont,2.0,84.5,84.5,2.0,35.0,35.0
Virginia,515.0,85.12038834951456,85.0,508.0,25.523622047244096,24.0
Washington,9750.0,88.87969230769231,89.0,9684.0,29.393122676579925,26.0
Washington-Oregon,3.0,85.66666666666667,84.0,3.0,18.0,18.0
