,latitude,longitude,winery,province,country
0,39.1019765,-121.3462821,Coastal Ridge,California,US
1,-33.3610403,-71.3181946,Morandé,Casablanca Valley,Chile
2,38.617127,-121.3282843,Carmichael,California,US
3,46.4026186,-120.0547337,Steppe Cellars,Washington,US
4,36.1808709,-80.8882328,Raffaldini,North Carolina,US
5,46.4209592,11.2522169,Kellerei Kaltern Caldaro,Northeastern Italy,Italy
6,43.5912356,3.2583626,Louis Changarnier,Languedoc-Roussillon,France
7,44.6208903,7.954625300000001,Luciano Sandrone,Piedmont,Italy
8,44.807621,8.104963,Ponchione Maurizio,Piedmont,Italy
9,42.9637251,12.2472096,Castello Monte Vibiano Vecchio,Central Italy,Italy
10,33.5634446,-117.5926363,Dark Horse,California,US
11,40.4967838,-7.670687699999999,Casa da Passarella,Dão,Portugal
12,41.342371,-1.219653,Ignacio Marín,Northern Spain,Spain
13,43.315385,-5.812058,Vetus,Northern Spain,Spain
14,34.0439193,-117.9040105,Vaquero,California,US
15,43.6980121,-7.910952699999998,Lagar de Costa,Galicia,Spain
16,41.87194,12.56738,Ferrari,Northeastern Italy,Italy
17,47.3247966,0.4747753,Caves du Val de France,Loire Valley,France
18,32.8324378,-117.2771339,promisQous,California,US
19,47.1122526,-1.4354543,Lieubeau,Loire Valley,France
20,38.7275538,-9.412471499999999,Casca Wines,Alentejano,Portugal
21,41.5911589,1.5208624,Mistinguett,Catalonia,Spain
22,39.7237022,-75.17260209999999,Heritage,New Jersey,US
23,34.664368,-120.072595,Baehner Fournier,California,US
24,46.8750081,4.749886399999999,Vitteaut-Alberti,Burgundy,France
25,-33.8088442,-70.7644236,Casa Julia,Maipo Valley,Chile
26,34.265685,-118.760412,Mahoney,California,US
27,43.0120548,11.4521775,Pieve Santa Restituta,Tuscany,Italy
28,48.7054806,16.0599791,Norbert Bauer,Weinviertel,Austria
29,41.26133979999999,-7.4709072,Caves Transmontanas,Vinho Espumante de Qualidade,Portugal
30,38.5203975,-120.8238467,Domaine de la Terre Rouge,California,US
31,44.922582,-0.3720044,Clos du Moulin,Bordeaux,France
32,36.778261,-119.4179324,Petito,California,US
33,47.411631,28.369885,Bostavan,Moldova,Moldova
34,40.65951099999999,22.071303,Kir-Yianni,Amyndeon,Greece
35,44.825274,-0.551067,Château Camensac,Bordeaux,France
36,36.9590333,-122.0478487,Quinta Cruz,California,US
37,45.442296,10.9991755,Viviani,Veneto,Italy
38,41.132355,0.8242851,Josep Grau Viticultor,Catalonia,Spain
39,-33.61315740000001,-71.4501843,Amaral,Leyda Valley,Chile
40,-26.0996271,-65.97038979999999,Etchart,Other,Argentina
41,39.6706676,-3.0238788,Alcardet,Central Spain,Spain
42,46.274731,4.753507,Domaine Cordier,Burgundy,France
43,33.934623,-118.072234,Moon Eyes,California,US
44,40.986564,-72.568006,Macari,New York,US
45,34.9141766,32.4129617,K&K; Vasilikon,Kathikas,Cyprus
46,34.4178114,-119.6607812,Waterfront,California,US
47,-35.5163603,-71.5723953,Tricky Rabbit,Maule Valley,Chile
48,40.349681,18.169492,Tormaresca,Southern Italy,Italy
49,48.16433000000001,7.297216799999999,Charles Sparr,Alsace,France
50,46.227638,2.213749,Domaine Pral,Beaujolais,France
51,38.1372927,-120.4609298,La Folia Winery,California,US
52,46.1759678,-119.033896,Hedges,Washington,US
53,38.6375699,-120.65689,La Clarine Farm,California,US
54,37.25444,-118.4775,Peterson,California,US
55,45.025121,8.36643,Marco Canato,Piedmont,Italy
56,39.39987199999999,-8.224454,Wines & Winemakers,Bairrada,Portugal
57,45.0737692,4.802642899999999,Delas Frères,Languedoc-Roussillon,France
58,-38.416097,-63.61667199999999,Quimay,Other,Argentina
59,40.46366700000001,-3.74922,Terreus,Northern Spain,Spain
60,45.88469,12.007391,Terre di San Venanzio Fortunato,Veneto,Italy
61,48.4333333,15.8,Soellner,Wagram,Austria
62,45.4177465,11.2413089,Corte Adami,Veneto,Italy
63,45.3290571,7.7269743,Malgra,Piedmont,Italy
64,44.8433951,-0.5733855,Château de l'Aubrade,Bordeaux,France
65,45.93897,-119.602597,Patterson,Washington,US
66,43.0721915,2.2186391,Sieur d'Arques,Languedoc-Roussillon,France
67,48.1011733,4.5713664,Veuve Doussot,Champagne,France
68,-33.3190376,-71.40763179999999,Montes,Casablanca Valley,Chile
69,44.8433951,-0.5733855,Château de Côme,Bordeaux,France
70,45.0531168,7.3999868,Olivero,Piedmont,Italy
71,-30.0002315,136.2091547,RBJ,South Australia,Australia
72,45.5662658,12.2401298,Amatore,Veneto,Italy
73,38.3708341,-122.2961994,Signorello,California,US
74,-34.956323,138.6076,Standish,South Australia,Australia
75,36.778261,-119.4179324,Sean Thackrey,California,US
76,41.87194,12.56738,Bucci,Central Italy,Italy
77,45.05577299999999,4.8822946,Domaine Philippe & Vincent Jaboulet,Rhône Valley,France
78,46.227638,2.213749,Château Tour Rozier,Bordeaux,France
79,44.837789,-0.57918,Premius,Bordeaux,France
80,36.778261,-119.4179324,Le P'tit Paysan,California,US
81,37.3499416,-121.9415769,O'Connor,California,US
82,43.311202,6.345899999999999,Château Castel des Maures,Provence,France
83,49.6949242,6.7649431,Woodbridge by Robert Mondavi,Mosel-Saar-Ruwer,Germany
84,48.0300825,4.369076600000001,Philippe Fontaine,Champagne,France
85,39.4019845,-8.613296,Quinta do Arrobe,Tejo,Portugal
86,41.87194,12.56738,St. Pauls,Northeastern Italy,Italy
87,37.9540966,-120.6362171,Mt. Brave,California,US
88,47.0267089,4.837123,Domaine Chanson,Burgundy,France
89,-33.317081,-71.460571,Kingston Family,Casablanca Valley,Chile
90,37.3015309,-121.7618422,Acacia,California,US
91,-20.5,134.2333333,Devil's Marbles,South Australia,Australia
92,42.471563,-2.3328834,Rioja Vega,Northern Spain,Spain
93,47.5543145,-120.7751463,Boudreaux Cellars,Washington,US
94,45.650198,4.443039,Château Pomeys,Bordeaux,France
95,44.88908,-0.1564908,Château Ausone,Bordeaux,France
96,41.1707541,-8.627253500000002,J. H. Andresen,Port,Portugal
97,40.7040202,-73.9397347,Timothy Moore,New York,US
98,35.5780474,-120.7801593,Saxum,California,US
99,-33.3190376,-71.40763179999999,Caliterra,Casablanca Valley,Chile
100,-23.6101315,-65.3974428,Fernando Dupont,Other,Argentina
101,38.36248740000001,-122.5260651,Kivelstadt Cellars,California,US
102,45.4312865,4.752187699999999,Les Vins de Vienne,Rhône Valley,France
103,29.1066146,-13.5281246,Ermita de Nieve,Northern Spain,Spain
104,49.92692,7.061316,Pamona Cellars,Mosel,Germany
105,35.3125,-118.40889,Twin Oaks,California,US
106,32.873808,-117.2420123,Meteor,California,US
